ID,Username,Display name,Followers,Image,Bio,Website
1667773546117070854,anarcaze,Arcaze The Builder,22450,https://pbs.twimg.com/profile_images/1962792111360913408/YTgXr5v2_400x400.jpg,Your daily insights into Web3 Ecosystems ✨ | Ambassador at @TacBuild | Creator for @EYEKONSTUDIO & @bricktopians 💖 | Open to any meaningful collabs ✌,http://arcaze.vercel.app
1522445869508747264,lixuany93626625,0xKo董 | 𝔽rAI .edge🦭 🌊RIVER,3415,https://pbs.twimg.com/profile_images/1927967896732585986/QPIPZ_4u_400x400.jpg,Yapper star,
1396342051390726148,AirdropcloudJP,Airdrop Cloud | Japan DAO,3055,https://pbs.twimg.com/profile_images/1995539524420861959/-YFTeUys_400x400.jpg,"エアドロップ特化Web3マーケ代理店 🇯🇵🚀 | 最速成長中のDAO 📈 | 正規パートナー提携 🤝 | 厳選エアドロ配信 ☄️
📩 お問い合わせ: https://t.co/X3u5wP7nK5",https://airdropcloud.info
40841838,AranyaNZ,Aranya ⛩️,2100,https://pbs.twimg.com/profile_images/2004464923959816192/oe_uHdmu_400x400.jpg,"Web3 Aspiring Content Creator. NFT enthusiast. Art collector.
@LilPudgys | @Azuki |  @Claynosaurz  | @FugzOfficial | Abstractions
Camping in @LegacyWeb3io",
1493080988318056449,cryto_junkie,JunKiE🎩📈,1719,https://pbs.twimg.com/profile_images/1758534728234229760/566ifmLi_400x400.jpg,nothing to see here,
1441575769478631432,thanglee9304,Victor,1718,https://pbs.twimg.com/profile_images/2049749926549258240/2-E7Yo40_400x400.jpg,"Moderator at @pharos_network
prev Builder at @HakResearch",https://link3.to/thanglee93
